MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1000374114,Circadian Technologies Ltd,2000-03-22,,,8.569,,,,Manufacture biologics drugs,,,,,,17253R,AU,,,,,,,,,,,"3,150,000.0 Ordinary Shares",OPTX,,Australia,CIR,,2000-02-22,,,,,,,,,,,Manufacturing,,17253R,No,,,AU000000CIR6,,,,,2000-02-22,,2000-03-22,AUSLA,AUSLA,,,,,,0,Australia Private,,,95.2,Australia,,,4.500,,,0.54,3150000,8.569,8.569,,,,,,,,,,,,,Ordinary Shares,BYQ3YX1,Yes,Yes,,3150000,,,,No,,"Biological products, except diagnostic substances",2836,,,,,,,,,,Foreign,CIR,3150000,8.569,,,,,,17253R,BYQ3YX1,2836,,0,2000,,,Y,1010073.0,993638.0,,,General Pharmaceuticals|Research & Development Firm|Over-The-Counter Drugs,2836/2834/6719/6799/6726/8731 /8071,,,,,,,,,,,,,,
1000375114,One.Tel Ltd,2000-03-22,,,169.26,,,,Pvd telecommun svcs,,,,,,68244L,AU,,,,,,,,,,,"186,666,666.0 Ordinary Shares",ONET,,Australia,ONE,,2000-03-03,,,,,,,,,,,Telephone Commun,,68244L,No,,,AU000000ONE9,,,,,2000-03-03,,2000-03-22,AUSLA,AUSLA,,,,,,0.0,Australia Private,,,2083.9,Australia,,,1.500,,,,186666666,169.26,169.26,,,,,,,,,,,,,Ordinary Shares,6155108,Yes,Yes,,186666666,,,,No,,"Telephone communications, except radiotelephone",4813,,,,,,,,,,Foreign,ONE,186666666,169.26,,,,,,68244L,6155108,4813,,0.0,2000,,,Y,1010074.0,993639.0,,,Internet Services & Software|Cellular Communications,4813/4812/4899/7389,,,,,,,,,,,,,,
1000376114,Templeton Global Growth Fund,2000-03-22,,,1.737,,,,Closed-end investment fund,,,,,,88019B,AU,,,,,,,,,,,"1,700,000.0 Ordinary Shares",TGGX,,Australia,TGG,,2000-03-10,,,,,10196,,,,,,Investment Fund,,88019B,No,,,AU000000TGG7,,,,,2000-03-10,,2000-03-22,AUSLA,AUSLA,,,,,,0,Australia Private,,,80.5,Australia,,,1.690,,,1.225,1700000,1.737,1.737,,,,,,,,,,,,,Ordinary Shares,6883874,Yes,Yes,,1700000,,,,No,,"Investment offices, nec",6726,,,,,,,,,,Foreign,TGG,1700000,1.737,,,,,,88019B,6883874,6726,,0,2000,,,Y,1010075.0,993640.0,,,Primary Business not Hi-Tech,6726,,,,,,,,,,,,,,
1000377114,Charters Tower Gold Mines,2000-03-23,,,1.842,,,,Gold mining,,,,,,16191X,AU,,,,,,,,,,,"38,000,000.0 Ordinary Shares",CTOX,,Australia,CTO,,2000-03-03,,,,,,,,,,,Natural Resource,,16191X,No,,,AU000000CTO0,,,,,2000-03-03,,2000-03-23,AUSLA,AUSLA,,,,,,0,Australia Private,,,14.4,Australia,,,0.080,,,0.108,38000000,1.842,1.842,,,,,,,,,,,,,Ordinary Shares,6186067,Yes,Yes,,38000000,,,,No,,Gold ores,1041,,,,,,,,,,Foreign,CTO,38000000,1.842,,,,,,16191X,6186067,1041,,0,2000,,,Y,1010076.0,993641.0,,,Primary Business not Hi-Tech,1041,,,,,,,,,,,,,,
1000378114,Strata Mining Corp NL,2000-03-23,,,1.48,,,,Gold mining,,,,,,86251C,AU,,,,,,,,,,,"48,840,000.0 Ordinary Shares",DSEDDX,,Australia,STT,,2000-03-23,,,14692,,,,,,,,Natural Resource,,86251C,No,,,AU000000STT5,614.286,,,,2000-03-23,,2000-03-23,AUSLA,AUSLA,,,,,,0,Australia Private,,,5.9,Australia,,,0.050,,,0.003,48840000,1.48,1.48,0.004,,,,,,,,,,,,Ordinary Shares,BYV57V1,Yes,Yes,,48840000,,,,No,,Gold ores,1041,,,,,,,,,,Foreign,STT,48840000,1.48,,,,,,86251C,BYV57V1,1041,,0,2000,,,Y,1011085.0,994643.0,,,Primary Business not Hi-Tech,1041,,,,,,,,,,,,,,
1000379114,Centro Properties Group,2000-03-24,,,39.99,,,,"Real estate invest,dvlp trust",,,,,,15640Q,AU,,,,,,,,,,,"25,100,000.0 Units",CNPX,,Australia,CEP,,2000-03-14,,,,,9132,,,,,,REIT,,15640Q,No,,,AU000000PRX7,,,,,2000-03-14,,2000-03-24,AUSLA,AUSLA,,,,,,0.0,Australia Private,,,413.7,Australia,,,2.620,,,,25100000,39.99,39.99,,,,,,,,,,,,,Units,6037745,Yes,Yes,,25100000,,,,No,,Real estate investment trusts,6798,,,,,,,,,,Foreign,CEP,25100000,39.99,,,,,,15640Q,6037745,6798,,0.0,2000,,,Y,1010077.0,993642.0,,,Primary Business not Hi-Tech,6798/6552/6531/6726,,,,,,,,,,,,,,
1000380114,Pulsat Communications Ltd,2000-03-27,,,2.555,,,,Pvd mobile telecom svcs,,,,,,74596R,AU,,,,,,,,,,,"6,435,680.0 Ordinary Shares",PRLHF,,Australia,PUL,,2000-02-07,,,,,,,,,,,Radio/TV/Telecom,,74596R,No,,,AU000000PUL6,,,,,2000-02-07,,2000-03-27,AUSLA,AUSLA,,,,,,0.0,Australia Private,,,20,Australia,,,0.650,,,,6435680,2.555,2.885,,,,,,,,,,,,,Ordinary Shares,6180263,Yes,Yes,,6435680,,,,No,,Radiotelephone communications,4812,74596R,,,,,,,,,Foreign,PUL,9137967,2.885,,,,,,74596R,6180263,4812,,0.0,2000,,,Y,1007665.0,836330.0,,,Cellular Communications,4812,,,,,,,,,,,,,,
1000381114,Golden Heritage Mining NL,2000-03-28,,,0.859,,,,Gold mining,,,,,,38078Y,AU,,,,,,,,,,,"13,976,725.0 Ordinary Shares",INIX,,Australia,GHM,,2000-01-01,,,,,,,,,,,Natural Resource,,38078Y,No,,,AU000000GHM0,,,,,2000-01-01,,2000-02-07,AUSLA,AUSLA,,,,,0.001,1.0,Australia Public,,,2.6,Australia,,,0.100,,,,13976725,0.859,0.859,,,,,,,,,,,,,Ordinary Shares,B1YCTF6,Yes,Yes,,13976725,13976725,100,100,No,,Gold ores,1041,,,,,,,,,,Foreign,GHM,13976725,0.859,,,,0.003,5.000,38078Y,B1YCTF6,1041,,0.0,2000,,,Y,1010099.0,993663.0,,,Primary Business not Hi-Tech,1041,,,,,2000-03-03,2000-03-03,,,,,,,,
1000382114,Astro Mining NL,2000-03-29,,,2.199,,,,"Diamond,mineral mining",,,,,,04638E,AU,,,,,,,,,,,"14,393,600.0 Ordinary Shares",ASEX,,Australia,ARO,,2000-03-29,,,14698,,,,,,,,Natural Resource,,04638E,No,,,AU000000ARO8,-37.5,,,,2000-03-29,,2000-03-29,AUSLA,AUSLA,,,,,,0,Australia Private,,,17.5,Australia,,,0.250,,,0.006,14393600,2.199,2.317,0.223,,,,,,,,,,,,Ordinary Shares,BNG9XY6,Yes,Yes,,14393600,19328749,,,No,,"Miscellaneous nonmetallic minerals, except fuels",1499,04638E,,,,,,,,,Foreign,ARO,33722349,2.317,,,,,,04638E,BNG9XY6,1499,,0,2000,,,Y,1010078.0,993643.0,,,Primary Business not Hi-Tech,1499/1099,,,,,,,,,,,,,,
1000383114,Australian Platinum Mines NL,2000-03-29,,,0.403,,,,Platinum mining company,,,,,,05292J,AU,,,,,,,,,,,"3,879,000.0 Ordinary Shares",APUX,,Australia,APU,,2000-02-01,,,,,,,,,,,Natural Resource,,05292J,No,,,AU000000APU9,,,,,2000-02-01,,2000-03-29,AUSLA,AUSLA,,,,,,0.0,Australia Private,,,3.1,Australia,,,0.170,,,,3879000,0.403,0.708,,,,,,,,,,,,,Ordinary Shares,6058887,Yes,Yes,,3879000,,,,No,,"Miscellaneous metal ores, nec",1099,05292J,,,,,,,,,Foreign,APU,4879000,0.708,,,,,,05292J,6058887,1099,,0.0,2000,,,Y,1007666.0,836340.0,,,Primary Business not Hi-Tech,1099,,,,,,,,,,,,,,
